Value,Key
"
 骑车时请勿跳过本系列中提供的刀具","
 Do not skip cutters available in the collection when cycling"
"
 先绘制一条方向线","
 Draw a orientation line first"
"
 在模式中绘制绑定框","
 Draw the bound box during the modal"
"
 离任何顶点最远的边","
 Edge farthest from any vertex"
"
 启用shift操作行为","
 Enable shift operation behavior"
"
 使用热键激活boxcutter时启用刀具设置区域","
 Enable tool settings area when activating boxcutter with the hotkey"
"
 确保在创建任何布尔修改器之后放置阵列修改器","
 Ensure array modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置倒角修改器","
 Ensure bevel modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置精简修改器","
 Ensure decimate modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置镜像修改器","
 Ensure mirror modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置重构网格修改器","
 Ensure remesh modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置简易变形修改器","
 Ensure simple deform modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置实体化修改器","
 Ensure solidify modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置表面细分修改器","
 Ensure subsurf modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置三角化修改器","
 Ensure triangulate modifiers are placed after any boolean modifiers created"
"
 确保将uv项目修改器放在任何创建的布尔修改器之后","
 Ensure uv project modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置加权法向修改器","
 Ensure weighted normal modifiers are placed after any boolean modifiers created"
"
 确保在创建任何布尔修改器之后放置焊接修改器","
 Ensure weld modifiers are placed after any boolean modifiers created"
"
 在绘制多边形时挤压初始线","
 Extrude the initial line when drawing an NGon"
"
 文件浏览器快捷键","
 File Browser Keymap"
"
 在连接操作期间，在z轴上翻转适合自定义形状的形状","
 Flip the shape fitted for custom shape on the z axis during a join operation"
"
 Frames快捷键","
 Frames Keymap"
"
 隐藏游标Gizmo","
 Hide Cursor Gizmo"
"
 隐藏网格Gizmo","
 Hide Grid Gizmo"
"
 隐藏变换 Gizmo","
 Hide Transform Gizmo"
"
 在切割时隐藏之前未选择的刀具","
 Hide previously made unselected cutters on cut"
"
 形状要多薄才会触发激光切割","
 How thin the shape must be before triggering a lazorcut cut"
"
 排序时忽略使用顶点倒角方法的倒角修改器","
 Ignore bevel modifiers that are using the only vertices option while sorting"
"
 排序时忽略使用顶点组限制方法的倒角修改器","
 Ignore bevel modifiers that are using the vertex group limit method while sorting"
"
 图像编辑工具: Uv, 游标键位映射","
 Image Editor Tool: Uv, Cursor  Keymap"
"
 图像键位映射","
 Image Keymap"
"
 只显示线时，增加线的厚度","
 Increases the thickness of wires when displaying wires only"
"
 初始化居中","
 Initial Centered"
"
 保持形状阵列修改器","
 Keep shape array modifier"
"
 保持形状倒角修改器","
 Keep shape bevel modifiers"
"
 保持形状晶格修改器","
 Keep shape lattice modifier"
"
 保持形状镜像修改器","
 Keep shape mirror modifier"
"
 保持形状实体化修改器","
 Keep shape solidify modifier"
"
 保持形状旋转修改器","
 Keep shape spin modifier"
"
 保持形状焊接修改器","
 Keep shape weld modifier"
"
 保持锥形量不变","
 Keep taper amount persistent"
"
 局部","
 Local"
"
 在第一次释放鼠标后锁定形状(选项卡)

 SHIFT或CTRL - 附加锁定选项","
 Lock the shape (Tab) after the first mouse release

 SHIFT or CTRL - Additional Lock Options"
"
 进行激光切割后锁定形状","
 Lock the shape after performing a lazorcut"
"
 断开连接的最长边","
 Longest Disconnected Edges"
"
 最长边","
 Longest Edge"
"
 按住shift键使形状保持活动状态","
 Make the shape active when holding shift to keep it"
"
 使用hardOps助手指定的标记标记边界 ","
 Marks boundary using hardOps helper specified markings "
"
 网格键位映射","
 Mesh Keymap"
"
 模态快捷方式: . (期间)


 利用角绘制. 方框/自定义 的默认值

","
 Modal Shortcut: . (Period)


 Utilizes Corner for drawing. Default for Box / Custom

"
"
 模态快捷方式: . (期间)

 利用中心点进行绘图.圆的默认值

","
 Modal Shortcut: . (Period)

 Utilizes Center for drawing. Default for Circle

"
"
 模态快捷方式: 1, 2, 3

 按下  1, 2, 3 为 X, Y, Z轴
 按下一次轴，两次翻转，三次删除","
 Modal Shortcut: 1, 2, 3

 Press 1, 2, 3 for axis X, Y, Z
 Press once for axis, twice to flip and thrice to remove"
"
 模态快捷方式: 1, 2, 3

 按下  1, 2, 3 为 X, Y, Z轴
 Shift + 1, 2, 或 3 翻转轴","
 Modal Shortcut: 1, 2, 3

 Press 1, 2, 3 for axis X, Y, Z
 Shift + 1, 2, or 3 to flip axis"
"
 模态快捷方式: B

 B - 添加倒角/移除修改器
 Q: 切换背面斜面","
 Modal Shortcut: B

 B - add bevel / remove modifier
 Q: Toggle back face bevel"
"
 模态快捷方式: D","
 Modal Shortcut: D"
"
 模态快捷方式: E","
 Modal Shortcut: E"
"
 模态快捷方式: O","
 Modal Shortcut: O"
"
 模态快捷方式: T

 T - 调整厚度/删除修改器
 1, 2, 3, - 固化修改器的循环偏移类型","
 Modal Shortcut: T

 T - adjust thickness / Remove Modifier
 1, 2, 3, - cycles offset type on solidify modifier"
"
 模态快捷方式: TAN","
 Modal Shortcut: TAB"
"
 模态快捷方式: V

 X, Y, Z键在阵列期间更改轴
 R - 重置阵列距离
 V - 循环径向阵列/移除阵列","
 Modal Shortcut: V

 X, Y, Z, keys to change axis during array
 R - to reset array distance
 V - cycle radial array / remove array"
"
 模态快捷方式: V

 X, Y, Z键在阵列期间更改轴
 Shift + R - 重置阵列距离
 V - 循环径向阵列/移除阵列","
 Modal Shortcut: V

 X, Y, Z, keys to change axis during array
 Shift + R - to reset array distance
 V - cycle radial array / remove array"
"
 将会应用修改器","
 Modifiers will be applied"
"
 将会保留修改器","
 Modifiers will not be applied"
"
 最远的顶点","
 Most Distant Vertices"
"
 鼠标位置","
 Mouse Position"
"
 移动
 LMB - 转换
 LMB + Shift - 复制物体
 LMB + Shift + Ctrl - 重置轴","
 Move
 LMB - translate
 LMB + Shift - Copy objects
 LMB + Shift + Ctrl - reset axis"
"
 粗线设置乘数","
 Multiplier for thick wire setting"
"
 最近边","
 Nearest Edge"
"
 N边面点大小","
 Ngon dot size"
"
 节点编辑快捷键","
 Node Editor Keymap"
"
 要显示的网格行和列数.
","
 Number of grid rows and columns to display.
"
"
 对象模式键位映射","
 Object Mode Keymap"
"
 对象非模态键位映射","
 Object Non-modal Keymap"
"
 排序时只影响最后一个阵列修改器","
 Only effect the most recent array modifier when sorting"
"
 排序时只影响最后一个倒角修改器","
 Only effect the most recent bevel modifier when sorting"
"
 排序时只影响最后一个精简修改器","
 Only effect the most recent decimate modifier when sorting"
"
 排序时只影响最后一个镜像修改器","
 Only effect the most recent mirror modifier when sorting"
"
 排序时只影响最后一个重构网格修改器","
 Only effect the most recent remesh modifier when sorting"
"
 排序时只影响最后一个简易变形修改器","
 Only effect the most recent simple deform modifier when sorting"
"
 排序时只影响最后一个实体化修改器","
 Only effect the most recent solidify modifier when sorting"
"
 排序时只影响最后一个表面细分修改器","
 Only effect the most recent subsurface modifier when sorting"
"
 排序时只影响最后一个三角化修改器","
 Only effect the most recent triangulate modifier when sorting"
"
 排序时仅影响最近的uv项目修改器","
 Only effect the most recent uv project modifier when sorting"
"
 排序时只影响最后一个加权法向修改器","
 Only effect the most recent weighted normal modifier when sorting"
"
 排序时只影响最后一个焊接修改器","
 Only effect the most recent weld modifier when sorting"
"
 操作点大小","
 Operation dot size"
"
 大纲键位映射","
 Outliner Keymap"
"
 在顶部栏中使用的填充量

","
 Padding amount to use in the topbar

"
"
 要在顶栏中使用的填充量

 注意:如果对你的窗口来说太高，顶部栏会隐藏/折叠

 手动输入以上数字 3","
 Padding amount to use in the topbar

 NOTE: If too high for your window the topbar will hide/collapse

 Manually enter numbers above 3"
"
 刀具父级到目标","
 Parent cutters to the target"
"
 在切割时为其他导航控制保留Alt","
 Preserve Alt for other navigational controls during cut"
"
 保留 右键 用于切割期间的其他导航控制","
 Preserve RMB for other navigational controls during cut"
"
 保留鼠标点击以进行视口选择","
 Preserve mouse click for viewport selection"
"
 释放时快速执行切割","
 Quickly execute cuts on release"
"
 在编辑模式下减少形状的不透明度","
 Reduce opacity of shapes when in edit mode"
"
 重复上次创建的形状","
 Repeat the last shape created"
"
 旋转
 LMB - 旋转
 LMB+shift+ctrl - 重置轴","
 Rotate
 LMB - rotate
 LMB+shift+ctrl - reset axis"
"
 缩放
 LMB - 缩放
 LMB+shift - 在另一个轴上缩放
 LMB+shift+ctrl - 重置缩放","
 Scale
 LMB - Scale
 LMB+shift - Sceale on other axis
 LMB+shift+ctrl - Reset Scale"
"
 屏幕编辑键位映射","
 Screen Editing Keymap"
"
 屏幕键位映射","
 Screen Keymap"
"
 绘制时滚轮调整圆的顶点计数","
 Scroll wheel adjusts circle vert count when drawing"
"
 设置套索牵引时的点间距值","
 Set Spacing value for points during lasso draw"
"
 形状原点","
 Shape Origin"
"
 插入形状厚度","
 Shape inset thickness"
"
 形状实体化厚度","
 Shape solidify thickness"
"
 Shift + 滚轮 使用圆时调整圆顶点计数","
 Shift + scroll wheel adjusts circle vert count when using circle"
"
 绘制时换刀均匀展开","
 Shift uniformely expands the cutter when held while drawing"
"
 显示游标Gizmo","
 Show Cursor Gizmo"
"
 显示网格 Gizm","
 Show Grid Gizm"
"
 显示网格Gizmo","
 Show Grid Gizmo"
"
 显示变换Gizmo","
 Show Transform Gizmo"
"
 显示/隐藏BC_变换Gizmo
    shift + 点击拖动一个轴来复制对象  w/ 布尔修改器
    ctrl + shift + 点击拖动重置轴

    支持局部和全局方向

    ","
 Show/Hide BC_Transform Gizmo
    shift + click drag an axis to duplicate object w/ boolean modifier
    ctrl + shift + click drag to reset axis

    Supports local and global orientations

    "
